,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt
148,2024-04-03 20:27:30,2090867287.612954,52,110,163,223,548,559,158,161,0,49,39,39,2024-04-03 20:27:30
149,2024-04-03 20:27:40,2090867297.613291,54,111,164,223,552,559,158,160,0,50,38,39,2024-04-03 20:27:40
150,2024-04-03 20:27:50,2090867307.6130311,53,111,164,224,552,558,158,161,0,48,39,41,2024-04-03 20:27:50
151,2024-04-03 20:28:00,2090867317.6132605,53,111,164,223,551,559,158,160,0,49,39,39,2024-04-03 20:28:00
152,2024-04-03 20:28:10,2090867327.6130283,54,110,163,222,549,561,158,160,0,48,40,40,2024-04-03 20:28:10
153,2024-04-03 20:28:20,2090867337.6130373,53,111,163,222,549,560,159,161,0,49,38,39,2024-04-03 20:28:20
154,2024-04-03 20:28:30,2090867347.6129882,53,110,164,223,550,559,157,161,0,49,40,40,2024-04-03 20:28:30
155,2024-04-03 20:28:40,2090867357.6133091,54,109,164,222,549,559,158,161,0,48,39,39,2024-04-03 20:28:40
156,2024-04-03 20:28:50,2090867367.613327,53,110,162,223,548,559,157,161,0,48,39,40,2024-04-03 20:28:50
157,2024-04-03 20:29:00,2090867377.6133285,54,111,163,221,549,559,157,161,0,49,39,39,2024-04-03 20:29:00
158,2024-04-03 20:29:10,2090867387.6130762,52,110,164,222,548,559,158,161,0,49,39,40,2024-04-03 20:29:10
159,2024-04-03 20:29:20,2090867397.6130757,52,110,164,223,549,559,157,161,0,49,39,39,2024-04-03 20:29:20
160,2024-04-03 20:29:30,2090867407.6130772,52,110,164,222,548,560,158,160,0,49,39,39,2024-04-03 20:29:30
161,2024-04-03 20:29:40,2090867417.6131005,52,110,164,223,549,560,157,161,0,49,39,40,2024-04-03 20:29:40
162,2024-04-03 20:29:50,2090867427.6131887,53,110,164,222,549,559,158,161,0,49,40,40,2024-04-03 20:29:50
163,2024-04-03 20:30:00,2090867437.613422,54,111,164,222,551,559,158,161,0,49,40,39,2024-04-03 20:30:00
164,2024-04-03 20:30:10,2090867447.613477,53,112,163,222,550,559,158,161,0,49,39,39,2024-04-03 20:30:10
165,2024-04-03 20:30:20,2090867457.6136863,54,111,164,223,552,559,158,161,0,49,39,39,2024-04-03 20:30:20
166,2024-04-03 20:30:30,2090867467.6139882,55,111,164,223,553,559,158,160,0,49,39,39,2024-04-03 20:30:30
167,2024-04-03 20:30:40,2090867477.6135404,55,111,163,222,551,559,158,162,0,49,39,39,2024-04-03 20:30:40
168,2024-04-03 20:30:50,2090867487.6139214,55,111,163,222,551,559,158,161,0,48,39,40,2024-04-03 20:30:50
169,2024-04-03 20:31:00,2090867497.6138675,55,110,164,221,550,559,158,161,0,49,39,40,2024-04-03 20:31:00
170,2024-04-03 20:31:10,2090867507.6143086,53,111,165,224,553,559,158,161,0,49,39,40,2024-04-03 20:31:10
171,2024-04-03 20:31:20,2090867517.6143453,54,110,163,224,551,559,159,160,0,49,40,41,2024-04-03 20:31:20
172,2024-04-03 20:31:30,2090867527.6146472,55,112,163,224,554,560,158,161,0,49,40,39,2024-04-03 20:31:30
173,2024-04-03 20:31:40,2090867537.614272,54,110,163,224,551,560,158,161,0,48,40,39,2024-04-03 20:31:40
174,2024-04-03 20:31:50,2090867547.614243,54,110,165,223,552,558,157,161,0,49,39,41,2024-04-03 20:31:50
175,2024-04-03 20:32:00,2090867557.614007,54,109,162,223,548,558,157,160,0,48,39,39,2024-04-03 20:32:00
176,2024-04-03 20:32:10,2090867567.6142507,56,111,164,224,555,559,158,160,0,49,39,40,2024-04-03 20:32:10
177,2024-04-03 20:32:20,2090867577.6162996,54,110,163,222,549,560,157,160,0,49,39,39,2024-04-03 20:32:20
178,2024-04-03 20:32:30,2090867587.614266,54,112,164,223,553,560,157,161,0,49,38,40,2024-04-03 20:32:30
179,2024-04-03 20:32:40,2090867597.6140518,55,109,163,223,550,560,157,160,0,49,41,39,2024-04-03 20:32:40
180,2024-04-03 20:32:50,2090867607.6143136,54,110,164,223,551,560,157,160,0,49,39,39,2024-04-03 20:32:50
181,2024-04-03 20:33:00,2090867617.6140642,54,109,164,224,551,558,157,162,0,49,39,39,2024-04-03 20:33:00
182,2024-04-03 20:33:10,2090867627.6143072,55,111,165,223,554,560,158,160,0,49,41,40,2024-04-03 20:33:10
183,2024-04-03 20:33:20,2090867637.6144555,53,111,163,223,550,560,158,162,0,49,39,40,2024-04-03 20:33:20
184,2024-04-03 20:33:30,2090867647.6143148,53,110,164,223,550,560,157,161,0,49,39,40,2024-04-03 20:33:30
185,2024-04-03 20:33:40,2090867657.6144059,54,111,164,223,552,559,156,160,0,48,40,40,2024-04-03 20:33:40
186,2024-04-03 20:33:50,2090867667.6142833,54,111,163,224,552,560,158,162,0,49,39,39,2024-04-03 20:33:50
187,2024-04-03 20:34:00,2090867677.6143296,53,110,163,223,549,558,157,161,0,48,39,41,2024-04-03 20:34:00
188,2024-04-03 20:34:10,2090867687.6143434,55,111,163,224,553,560,157,161,0,49,39,39,2024-04-03 20:34:10
189,2024-04-03 20:34:20,2090867697.6141074,53,112,164,222,551,560,157,161,0,49,39,39,2024-04-03 20:34:20
190,2024-04-03 20:34:30,2090867707.6142006,54,113,164,224,555,560,157,161,0,49,39,40,2024-04-03 20:34:30
191,2024-04-03 20:34:40,2090867717.61455,55,109,166,222,552,560,157,161,0,49,39,40,2024-04-03 20:34:40
192,2024-04-03 20:34:50,2090867727.6142225,55,112,163,221,551,560,157,161,0,49,39,40,2024-04-03 20:34:50
193,2024-04-03 20:35:00,2090867737.615169,54,113,165,223,555,559,157,161,0,49,40,39,2024-04-03 20:35:00
194,2024-04-03 20:35:10,2090867747.614562,54,111,164,223,552,558,157,161,0,49,39,39,2024-04-03 20:35:10
195,2024-04-03 20:35:20,2090867757.6147285,54,112,164,221,551,560,158,160,0,49,39,38,2024-04-03 20:35:20
196,2024-04-03 20:35:30,2090867767.614603,54,111,165,223,553,559,157,160,0,49,39,40,2024-04-03 20:35:30
197,2024-04-03 20:35:40,2090867777.6147304,54,111,165,224,554,560,157,160,0,49,39,40,2024-04-03 20:35:40
198,2024-04-03 20:35:50,2090867787.6205893,56,112,165,224,557,559,157,161,0,48,39,40,2024-04-03 20:35:50
199,2024-04-03 20:36:00,2090867797.6148565,53,112,165,224,554,560,158,161,0,48,40,40,2024-04-03 20:36:00
200,2024-04-03 20:36:10,2090867807.614279,55,111,164,224,554,560,157,160,0,49,39,40,2024-04-03 20:36:10
201,2024-04-03 20:36:20,2090867817.6147773,54,111,164,223,552,559,156,161,0,49,38,39,2024-04-03 20:36:20
202,2024-04-03 20:36:30,2090867827.6146395,55,111,165,223,554,559,157,160,0,49,39,40,2024-04-03 20:36:30
203,2024-04-03 20:36:40,2090867837.6147716,54,111,165,223,553,560,157,161,0,49,40,39,2024-04-03 20:36:40
204,2024-04-03 20:36:50,2090867847.614504,54,113,164,222,553,561,157,161,0,49,39,39,2024-04-03 20:36:50
205,2024-04-03 20:37:00,2090867857.6148584,56,113,163,224,556,559,157,161,0,49,40,40,2024-04-03 20:37:00
206,2024-04-03 20:37:10,2090867867.614979,55,111,164,225,555,560,157,161,0,49,38,39,2024-04-03 20:37:10
207,2024-04-03 20:37:20,2090867877.6144657,57,112,165,223,557,559,156,161,0,49,39,39,2024-04-03 20:37:20
208,2024-04-03 20:37:30,2090867887.6147437,54,111,165,225,555,559,157,161,0,49,39,39,2024-04-03 20:37:30
209,2024-04-03 20:37:40,2090867897.614439,54,111,164,223,552,559,157,161,0,48,39,40,2024-04-03 20:37:40
210,2024-04-03 20:37:50,2090867907.6144557,55,110,165,223,553,559,156,161,0,49,40,40,2024-04-03 20:37:50
211,2024-04-03 20:38:00,2090867917.6144629,55,112,165,225,557,560,156,161,0,49,39,41,2024-04-03 20:38:00
