,date,time,Flare Flag,1-7 GHz,7-13 GHz,13-18 GHz,Mean,Sigma,Threshold,Count
162,2024-04-03,20:13:08.154000,201308.154,47295.7422,8871.97754,2889.79907,2973.14575,122.516937,3340.69653,161.0
163,2024-04-03,20:13:09.208000,201309.208,46600.668,8790.29492,2874.53027,2972.53711,122.379715,3339.67627,162.0
164,2024-04-03,20:13:10.316000,201310.316,47123.6602,8872.2373,2913.29688,2972.17358,122.088814,3338.43994,163.0
165,2024-04-03,20:13:11.370000,201311.37,46933.9922,8880.91406,2849.74829,2971.42725,122.087364,3337.68945,164.0
166,2024-04-03,20:13:12.478000,201312.478,49271.5156,8854.75098,2884.38574,2970.89966,121.906799,3336.62012,165.0
167,2024-04-03,20:13:13.532000,201313.532,49224.3086,8871.19629,2857.02271,2970.21362,121.858734,3335.78979,166.0
168,2024-04-03,20:13:14.154000,201314.154,47981.3906,8822.46875,2876.07153,2969.6499,121.703568,3334.76074,167.0
169,2024-04-03,20:13:15.154000,201315.154,48107.7617,8843.51367,2867.14453,2969.03979,121.600502,3333.84131,168.0
170,2024-04-03,20:13:16.261000,201316.261,47120.4961,8859.17383,2883.79761,2968.5354,121.41703,3332.78662,169.0
171,2024-04-03,20:13:17.315000,201317.315,47157.2031,8895.87207,2866.2688,2967.93408,121.301033,3331.83716,170.0
172,2024-04-03,20:13:18.423000,201318.423,46870.4219,8850.47461,2894.95508,2967.50732,121.074409,3330.73047,171.0
173,2024-04-03,20:13:19.477000,201319.477,46861.8594,8819.38184,2854.76953,2966.85181,121.026405,3329.93115,172.0
174,2024-04-03,20:13:20.586000,201320.586,46665.3672,8860.9873,2865.26611,2966.26489,120.920502,3329.02637,173.0
175,2024-04-03,20:13:21.154000,201321.154,48108.2188,8848.12891,2844.5918,2965.56567,120.916733,3328.31592,174.0
176,2024-04-03,20:13:22.209000,201322.209,48300.4609,8822.22949,2868.64136,2965.01172,120.797348,3327.40381,175.0
177,2024-04-03,20:13:23.315000,201323.315,48220.2812,8798.66309,2833.0874,2964.26221,120.857887,3326.83594,176.0
178,2024-04-03,20:13:24.370000,201324.37,46669.9844,8846.21289,2871.77979,2963.7395,120.716042,3325.8877,177.0
179,2024-04-03,20:13:25.478000,201325.478,47302.0938,8840.32715,2854.86938,2963.12793,120.653587,3325.08862,178.0
180,2024-04-03,20:13:26.532000,201326.532,46667.875,8819.69434,2873.81104,2962.62842,120.511269,3324.16211,179.0
181,2024-04-03,20:13:27.154000,201327.154,47319.8672,8868.20996,2845.61011,2961.97852,120.4832,3323.42822,180.0
182,2024-04-03,20:13:28.154000,201328.154,47178.6562,8883.63574,2878.5376,2962.30981,120.174171,3322.83228,180.0
183,2024-04-03,20:13:29.261000,201329.261,47912.8984,8839.52832,2837.12988,2963.10352,118.85788,3319.67725,180.0
184,2024-04-03,20:13:30.316000,201330.316,48385.9219,8799.67871,2859.03955,2963.28052,118.67424,3319.30322,180.0
185,2024-04-03,20:13:31.424000,201331.424,50959.125,8870.08887,2875.90869,2964.07324,117.605911,3316.89111,180.0
186,2024-04-03,20:13:32.532000,201332.532,48632.5508,8866.62598,2884.82373,2964.12183,117.566383,3316.82104,180.0
187,2024-04-03,20:13:33.586000,201333.586,55477.9062,8859.43359,2826.21216,2964.41211,117.158157,3315.88672,180.0
188,2024-04-03,20:13:34.153000,201334.153,47565.418,8895.06055,2858.64429,2964.48828,117.081833,3315.73389,180.0
189,2024-04-03,20:13:35.208000,201335.208,47557.875,8848.99707,2863.7124,2965.1709,116.128227,3313.55566,180.0
190,2024-04-03,20:13:36.316000,201336.316,47137.6094,8854.05664,2872.45361,2965.50391,115.773613,3312.82471,180.0
191,2024-04-03,20:13:37.370000,201337.37,47678.9609,8814.11035,2853.14185,2965.72559,115.520103,3312.28589,180.0
192,2024-04-03,20:13:38.480000,201338.48,46768.5195,8818.24121,2871.91992,2964.92847,115.665482,3311.9248,180.0
193,2024-04-03,20:13:39.531000,201339.531,47583.6211,8853.52344,2849.4292,2963.40771,115.374542,3309.53125,180.0
194,2024-04-03,20:13:40.639000,201340.639,49340.668,8830.23828,2882.53467,2961.85962,114.578461,3305.59497,180.0
